id,date_listed,project_id,project_name,builder,builder_tier,rera_id,locality,region,tier,lat,lon,property_type,bedrooms,carpet_area_sqft,built_up_area_sqft,carpet_area_m2,floor,total_floors,facing,launch_year,possession_year,total_project_units,possession_status,metro_station,metro_line,metro_distance_min,to_bkc_km,price_inr,price_per_sqft_carpet_inr,price_usd,home_loan_rate_at_listing,listing_year,listing_month
U003920,2022-08-02,UC0138,Tata Housing Estate,Tata Housing,tier1,P51945849,Dadar West,Central,premium,19.01379,72.82537,2BHK,2,532,642,49.5,11,15,east,2023,2027,100,under_construction,Cuffe Parade,Line 3,143,7.81,23346000,43843,280151,8.6,2022,8
U003921,2023-03-05,UC0042,Marathon Heights,Marathon,tier2,P51704511,Kopar Khairane,Navi Mumbai,mid,19.09921,72.99916,3BHK,3,838,1070,77.9,8,15,south-east,2025,2026,1200,ready_to_move,Ghatkopar CR,Central Rail,117,13.96,9780000,11668,117365,9.2,2023,3
U003922,2023-02-17,UC0185,Marathon Heights,Marathon,tier2,,Airoli,Navi Mumbai,mid,19.17684,73.00422,2BHK,2,674,846,62.6,3,15,west,2025,2025,1200,under_construction,Dahanukarwadi,Line 2A,202,18.44,9138000,13553,109655,9.2,2023,2
U003923,2022-12-03,UC0191,Rustomjee Towers,Rustomjee,tier1,P51769030,Sewri,South Mumbai,premium,19.0008,72.85378,1BHK,1,500,600,46.5,10,35,south-east,2024,2026,800,under_construction,Dadar CR,Central Rail,32,7.88,15683000,31363,188196,8.6,2022,12
U003924,2022-05-03,UC0120,JP Infra Residences,JP Infra,tier2,P51909097,Ghodbunder Road,Thane,mid,19.25334,72.95156,1BHK,1,418,543,38.8,5,25,south-west,2024,2025,1200,ready_within_6m,Poisar,Line 7,146,22.11,5239000,12535,62865,7.1,2022,5
U003925,2021-07-28,UC0070,Kalpataru Garden,Kalpataru,tier1,P51730750,Oshiwara,Western,premium,19.15921,72.84734,3BHK,3,840,1024,78.0,22,35,north-east,2024,2025,400,ready_within_6m,Goregaon East,Line 7,20,10.2,22777000,27118,273325,6.7,2021,7
U003926,2023-10-02,UC0209,Nirmal Lifestyle Towers,Nirmal Lifestyle,tier2,,Ghatkopar East,Central,mid,19.08987,72.929,2BHK,2,640,829,59.5,33,35,north-east,2022,2028,800,under_construction,Asalpha,Line 1,50,6.58,13968000,21828,167619,9.2,2023,10
U003927,2024-04-08,UC0245,Sunteck Avalon,Sunteck,tier2,,Panvel,Navi Mumbai,affordable,18.99092,73.10477,2BHK,2,576,727,53.5,5,50,south-west,2024,2027,400,under_construction,Panvel Harbour,Harbour,10,26.2,4290000,7443,51478,9.2,2024,4
U003928,2022-03-13,UC0194,JP Infra Avalon,JP Infra,tier2,P51968242,Juhu,Western,luxury,19.10217,72.82874,5BHK_penthouse,5,2212,2866,205.5,7,15,east,2024,2024,100,under_construction,Marol Naka Metro,Line 3,72,5.62,127997000,57861,1535968,7.1,2022,3
U003929,2025-07-21,UC0017,Ekta World Royale,Ekta World,tier2,P51877851,Sion,Central,premium,19.04235,72.86951,3BHK,3,826,1041,76.7,4,25,west,2023,2026,400,ready_within_6m,Siddhivinayak,Line 3,69,3.08,28265000,34226,339182,8.7,2025,7
U003930,2023-11-28,UC0037,Marathon Royale,Marathon,tier2,P51761471,Mulund East,Central,mid,19.18637,72.95244,2BHK,2,754,943,70.0,26,35,north-east,2022,2027,100,ready_to_move,Borivali WR,Western Rail,138,15.57,15934000,21144,191203,9.2,2023,11
U003931,2024-11-27,UC0008,JP Infra Palazzo,JP Infra,tier2,P51918615,Andheri East,Western,mid,19.13056,72.85751,3BHK,3,942,1163,87.5,1,25,south-west,2021,2027,100,under_construction,SEEPZ,Line 3,16,6.86,27768000,29473,333215,9.2,2024,11
U003932,2022-11-28,UC0145,Wadhwa Horizon,Wadhwa,tier2,P51927668,Powai,Central,premium,19.11777,72.89858,2BHK,2,654,811,60.8,8,25,south-east,2024,2027,200,under_construction,Jagruti Nagar,Line 1,32,6.1,22104000,33786,265244,8.6,2022,11
U003933,2024-06-02,UC0007,Tata Housing Pinnacle,Tata Housing,tier1,P51794917,Breach Candy,South Mumbai,luxury,18.96675,72.80474,2BHK,2,529,645,49.2,3,15,north-east,2023,2024,400,under_construction,Grant Road Metro,Line 3,21,13.37,54081000,102208,648973,9.2,2024,6
U003934,2025-06-10,UC0210,Sunteck Meadows,Sunteck,tier2,,Vasai,Far Western,affordable,19.40648,72.81641,3BHK,3,871,1099,80.9,18,25,north-east,2022,2027,200,under_construction,Versova,Line 1,359,37.84,8109000,9309,97306,8.95,2025,6
U003935,2023-04-03,UC0207,Ekta World Palazzo,Ekta World,tier2,P51843343,Manpada,Thane,mid,19.23423,72.97392,1BHK,1,460,583,42.8,29,35,south-east,2022,2026,400,under_construction,Akurli,Line 7,155,21.27,6947000,15098,83368,9.2,2023,4
U003936,2025-02-13,UC0005,Ekta World Plaza,Ekta World,tier2,P51892275,Matunga,Central,premium,19.03399,72.86933,4BHK,4,1566,1943,145.5,18,35,west,2023,2025,100,under_construction,Kurar,Line 7,205,4.0,59367000,37915,712399,8.95,2025,2
U003937,2022-12-17,UC0121,Rustomjee Royale,Rustomjee,tier1,P51988274,Sewri,South Mumbai,premium,18.99901,72.85647,4BHK,4,1737,2227,161.4,4,25,north,2021,2025,100,ready_within_6m,CSMT CR,Central Rail,83,8.02,62221000,35821,746657,8.6,2022,12
U003938,2024-12-24,UC0135,Runwal Garden,Runwal,tier2,P51934428,Goregaon West,Western,mid,19.17401,72.84243,1BHK,1,505,643,47.0,24,25,west,2025,2027,200,under_construction,Kurar,Line 7,23,11.92,14809000,29300,177714,9.2,2024,12
U003939,2024-03-05,UC0168,Sheth Creators Symphony,Sheth Creators,tier2,P51739756,Tardeo,South Mumbai,luxury,18.9588,72.80896,4BHK,4,1056,1299,98.1,31,35,east,2024,2025,1200,under_construction,Siddhivinayak,Line 3,83,13.93,79532000,75349,954384,9.2,2024,3
U003940,2023-06-16,UC0139,JP Infra Imperia,JP Infra,tier2,P51821551,Prabhadevi,South Mumbai,luxury,19.01724,72.84648,3BHK,3,1073,1318,99.7,15,25,north,2024,2026,100,under_construction,Dadar CR,Central Rail,9,6.37,62944000,58661,755323,9.2,2023,6
U003941,2022-06-13,UC0207,Ekta World Palazzo,Ekta World,tier2,P51843343,Manpada,Thane,mid,19.23423,72.97392,2BHK,2,714,862,66.4,6,25,north-west,2022,2026,400,ready_within_6m,Shitaladevi,Line 3,328,21.27,7900000,11061,94799,7.1,2022,6
U003942,2024-03-11,UC0231,Mahindra Lifespaces Garden,Mahindra Lifespaces,tier1,P51760480,Seawoods,Navi Mumbai,mid,19.02245,73.02256,4BHK,4,1563,2001,145.2,28,35,south-east,2025,2026,400,ready_to_move,Nerul Harbour,Harbour,17,16.88,28350000,18138,340197,9.2,2024,3
U003943,2022-07-18,UC0189,Nirmal Lifestyle Imperia,Nirmal Lifestyle,tier2,,Virar,Far Western,affordable,19.456,72.80664,3BHK,3,1020,1292,94.8,3,15,east,2022,2028,400,under_construction,Virar WR,Western Rail,12,43.43,6654000,6522,79844,8.6,2022,7
U003944,2025-08-13,UC0226,Runwal Crest,Runwal,tier2,,Kandivali West,Western,mid,19.2107,72.83609,5BHK_penthouse,5,2267,2892,210.6,19,25,south-west,2021,2027,1200,under_construction,Poisar,Line 7,33,16.05,47693000,21041,572321,8.7,2025,8
U003945,2022-01-29,UC0087,Ekta World The Park,Ekta World,tier2,P51940292,Kandivali West,Western,mid,19.20997,72.81797,3BHK,3,900,1097,83.6,2,25,south,2024,2027,800,under_construction,Airport Road,Line 1,163,16.5,16362000,18181,196344,7.1,2022,1
U003946,2024-12-29,UC0109,JP Infra Meadows,JP Infra,tier2,P51944823,Breach Candy,South Mumbai,luxury,18.97718,72.81963,4BHK,4,1866,2368,173.3,5,25,north,2024,2027,200,ready_within_6m,Mahalaxmi Metro,Line 3,7,11.6,197569000,105885,2370830,9.2,2024,12
U003947,2021-02-19,UC0175,Ajmera Vista,Ajmera,tier2,P51758950,Parel,South Mumbai,premium,18.9956,72.85003,4BHK,4,1354,1713,125.8,38,50,south-west,2023,2027,1200,ready_within_6m,Churchgate WR,Western Rail,91,8.53,54691000,40397,656288,6.7,2021,2
U003948,2022-09-23,UC0022,Tata Housing Vista,Tata Housing,tier1,,Kandivali West,Western,mid,19.20413,72.81812,1BHK,1,338,437,31.4,33,35,north,2023,2027,100,ready_within_6m,Ovaripada,Line 7,60,15.88,9650000,28577,115804,8.6,2022,9
U003949,2021-12-19,UC0006,Kalpataru Royale,Kalpataru,tier1,P51762508,Sion,Central,premium,19.04937,72.87147,1BHK,1,463,567,43.1,11,15,south,2023,2028,800,under_construction,Bandra WR,Western Rail,45,2.3,13006000,28066,156069,6.7,2021,12
U003950,2021-10-29,UC0102,Hiranandani Crown,Hiranandani,tier1,P51879531,Wadala,South Mumbai,premium,19.01452,72.85737,2BHK,2,745,960,69.3,13,35,north-west,2021,2027,200,ready_to_move,Wadala Harbour,Harbour,13,6.31,28195000,37821,338338,6.7,2021,10
U003951,2021-02-19,UC0239,Sheth Creators Palazzo,Sheth Creators,tier2,P51843397,Lower Parel,South Mumbai,premium,18.99669,72.83495,2BHK,2,744,933,69.1,15,25,west,2024,2027,800,under_construction,Versova,Line 1,193,8.95,38207000,51386,458484,6.7,2021,2
U003952,2024-11-01,UC0008,JP Infra Palazzo,JP Infra,tier2,P51918615,Andheri East,Western,mid,19.13056,72.85751,1BHK,1,485,587,45.1,35,35,south-east,2021,2027,100,ready_to_move,Marol Naka,Line 1,50,6.86,18188000,37486,218258,9.2,2024,11
U003953,2023-07-19,UC0087,Ekta World The Park,Ekta World,tier2,P51940292,Kandivali West,Western,mid,19.20997,72.81797,2BHK,2,519,630,48.2,6,25,north,2024,2027,800,under_construction,Dharavi,Line 3,231,16.5,11020000,21230,132235,9.2,2023,7
U003954,2023-05-26,UC0186,Oberoi Realty Imperia,Oberoi Realty,tier1,P51857068,Borivali East,Western,mid,19.23272,72.85488,2BHK,2,738,948,68.5,40,50,south-east,2024,2027,400,ready_within_6m,Borivali WR,Western Rail,12,18.16,13912000,18861,166938,9.2,2023,5
U003955,2023-11-17,UC0235,Ekta World Garden,Ekta World,tier2,P51930623,Walkeshwar,South Mumbai,luxury,18.95531,72.79082,2BHK,2,558,692,51.8,21,50,north-west,2024,2027,400,under_construction,Devipada,Line 2A,342,15.23,57078000,102276,684934,9.2,2023,11
U003956,2022-01-28,UC0229,Nirmal Lifestyle Pinnacle,Nirmal Lifestyle,tier2,P51802521,Virar,Far Western,affordable,19.4623,72.79157,2BHK,2,845,1077,78.5,20,35,east,2023,2026,800,ready_within_6m,Virar WR,Western Rail,33,44.39,5861000,6937,70332,7.1,2022,1
U003957,2024-01-15,UC0191,Rustomjee Towers,Rustomjee,tier1,P51769030,Sewri,South Mumbai,premium,19.0008,72.85378,4BHK,4,1656,2107,153.8,21,25,south-east,2024,2026,800,under_construction,Dadar Metro,Line 3,29,7.88,70478000,42567,845740,9.2,2024,1
U003958,2026-03-25,UC0005,Ekta World Plaza,Ekta World,tier2,P51892275,Matunga,Central,premium,19.03399,72.86933,2BHK,2,674,819,62.6,4,25,south,2023,2025,100,under_construction,Wadala Harbour,Harbour,31,4.0,26041000,38654,312493,8.7,2026,3
U003959,2023-04-17,UC0005,Ekta World Plaza,Ekta World,tier2,P51892275,Matunga,Central,premium,19.03399,72.86933,2BHK,2,699,874,64.9,12,25,south,2023,2025,100,under_construction,Vidyanagari,Line 3,68,4.0,23058000,32998,276690,9.2,2023,4
U003960,2021-04-24,UC0184,Hiranandani Horizon,Hiranandani,tier1,P51743100,Mulund East,Central,mid,19.16935,72.97277,1BHK,1,518,660,48.2,13,25,south,2023,2025,100,under_construction,Magathane,Line 2A,165,15.45,9796000,18898,117553,6.7,2021,4
U003961,2022-05-02,UC0151,Piramal Realty The Park,Piramal Realty,tier2,,Borivali East,Western,mid,19.22465,72.85673,2BHK,2,616,770,57.3,23,35,east,2023,2027,200,under_construction,Akurli,Line 7,27,17.25,11098000,18008,133174,7.1,2022,5
U003962,2022-10-11,UC0016,Hiranandani Greens,Hiranandani,tier1,P51936044,Borivali East,Western,mid,19.23512,72.84785,3BHK,3,1038,1333,96.4,23,35,north-west,2023,2027,200,ready_to_move,Borivali WR,Western Rail,22,18.51,20336000,19595,244032,8.6,2022,10
U003963,2026-04-14,UC0188,Rustomjee Grandeur,Rustomjee,tier1,P51838942,Thane West,Thane,mid,19.22556,72.98481,3BHK,3,1020,1253,94.8,10,15,north,2022,2024,100,ready_within_6m,Lower Oshiwara,Line 2A,196,21.09,20321000,19924,243850,8.7,2026,4
U003964,2022-09-13,UC0203,Sheth Creators Skyline,Sheth Creators,tier2,P51814975,Santacruz East,Western,premium,19.0752,72.86302,2BHK,2,487,615,45.2,12,25,south-west,2024,2027,400,under_construction,Domestic Airport,Line 3,26,0.93,15339000,31509,184074,8.6,2022,9
U003965,2024-07-26,UC0202,Sheth Creators Heights,Sheth Creators,tier2,,Byculla,South Mumbai,premium,18.97734,72.84586,4BHK,4,1351,1648,125.5,1,15,north-east,2022,2028,100,under_construction,CSMT CR,Central Rail,52,10.61,66288000,49080,795457,9.2,2024,7
U003966,2022-05-25,UC0139,JP Infra Imperia,JP Infra,tier2,P51821551,Prabhadevi,South Mumbai,luxury,19.01724,72.84648,1BHK,1,412,520,38.3,16,35,south,2024,2026,100,under_construction,Dadar Metro,Line 3,7,6.37,21805000,52948,261664,7.1,2022,5
U003967,2024-05-12,UC0165,Kanakia Vista,Kanakia,tier2,,Kandivali West,Western,mid,19.19938,72.84075,1BHK,1,447,557,41.5,3,15,east,2023,2024,100,ready_within_6m,Rashtriya Udyan,Line 2A,15,14.71,10421000,23319,125049,9.2,2024,5
U003968,2021-06-25,UC0150,Runwal Estate,Runwal,tier2,P51894274,Bandra West,Western,luxury,19.05551,72.81122,4BHK,4,1116,1432,103.6,6,15,south,2025,2026,400,ready_within_6m,Hutatma Chowk,Line 3,169,6.38,69880000,62644,838558,6.7,2021,6
U003969,2021-12-13,UC0090,Oberoi Realty Garden,Oberoi Realty,tier1,P51976624,Prabhadevi,South Mumbai,luxury,19.01459,72.82389,3BHK,3,1136,1405,105.5,34,35,south-east,2023,2027,1200,ready_to_move,Siddhivinayak,Line 3,6,7.84,81478000,71720,977733,6.7,2021,12
U003970,2024-08-03,UC0178,Lodha Residences,Lodha,tier1,P51873680,Thane East,Thane,affordable,19.17834,72.96463,2BHK,2,564,709,52.4,17,25,north-west,2024,2028,400,under_construction,Borivali WR,Western Rail,150,15.62,6995000,12400,83945,9.2,2024,8
U003971,2024-06-04,UC0021,Mahindra Lifespaces Palazzo,Mahindra Lifespaces,tier1,,Thane West,Thane,mid,19.22113,72.9657,2BHK,2,698,868,64.8,28,35,north-east,2024,2025,400,ready_to_move,Dindoshi,Line 7,148,19.58,14023000,20101,168279,9.2,2024,6
U003972,2022-11-06,UC0037,Marathon Royale,Marathon,tier2,P51761471,Mulund East,Central,mid,19.18637,72.95244,3BHK,3,867,1124,80.6,2,15,north,2022,2027,100,under_construction,Azad Nagar,Line 1,176,15.57,16637000,19184,199639,8.6,2022,11
U003973,2025-11-14,UC0021,Mahindra Lifespaces Palazzo,Mahindra Lifespaces,tier1,,Thane West,Thane,mid,19.22113,72.9657,3BHK,3,940,1189,87.3,27,35,south-east,2024,2025,400,under_construction,Eksar,Line 2A,143,19.58,22102000,23520,265219,8.7,2025,11
U003974,2021-06-28,UC0154,Lodha Heights,Lodha,tier1,P51910876,Bhandup,Central,mid,19.16235,72.96714,1BHK,1,449,540,41.7,16,50,west,2025,2027,800,under_construction,Santacruz Metro,Line 3,200,14.48,8192000,18254,98309,6.7,2021,6
U003975,2024-12-05,UC0119,Marathon Residences,Marathon,tier2,P51830668,Vile Parle East,Western,premium,19.09576,72.8615,2BHK,2,655,791,60.9,16,35,north,2023,2026,1200,under_construction,International Airport,Line 3,14,3.0,22486000,34310,269831,9.2,2024,12
U003976,2021-07-03,UC0123,Ajmera Horizon,Ajmera,tier2,P51953259,Kandivali East,Western,mid,19.21227,72.84649,2BHK,2,699,858,65.0,11,25,north-west,2022,2025,200,under_construction,Poisar,Line 7,28,16.01,12044000,17221,144522,6.7,2021,7
U003977,2022-10-28,UC0040,Godrej Properties Skyline,Godrej Properties,tier1,P51912074,Vikhroli,Central,mid,19.10566,72.91627,4BHK,4,1435,1794,133.4,10,15,north-west,2024,2025,1200,under_construction,Goregaon East,Line 7,112,6.27,39931000,27818,479173,8.6,2022,10
U003978,2021-08-31,UC0212,Sunteck Pinnacle,Sunteck,tier2,P51857716,Goregaon East,Western,mid,19.16127,72.87741,1BHK,1,489,589,45.4,14,25,south,2024,2026,800,under_construction,Dindoshi,Line 7,25,10.18,8538000,17477,102453,6.7,2021,8
U003979,2022-02-03,UC0009,Sheth Creators Heights,Sheth Creators,tier2,P51926769,Bhayandar,Western,affordable,19.29801,72.84679,2BHK,2,666,848,61.9,10,25,south-east,2024,2024,200,under_construction,Akurli,Line 7,120,25.47,7387000,11089,88641,7.1,2022,2
U003980,2025-03-29,UC0177,Dosti Realty Grandeur,Dosti Realty,tier2,P51952261,Kopar Khairane,Navi Mumbai,mid,19.09883,72.99645,3BHK,3,974,1246,90.5,28,35,north-west,2025,2026,400,under_construction,BKC Metro,Line 3,169,13.67,14297000,14677,171562,8.95,2025,3
U003981,2022-12-15,UC0155,Oberoi Realty Horizon,Oberoi Realty,tier1,P51876238,Manpada,Thane,mid,19.2293,72.96683,1BHK,1,382,470,35.5,29,50,east,2022,2026,1200,under_construction,Dadar Metro,Line 3,325,20.43,6172000,16173,74060,8.6,2022,12
U003982,2021-02-11,UC0159,Wadhwa Garden,Wadhwa,tier2,,Taloja,Navi Mumbai,affordable,19.08102,73.09547,3BHK,3,830,1034,77.1,41,50,north-west,2024,2026,400,ready_to_move,Vashi Harbour,Harbour,123,23.73,6194000,7465,74334,6.7,2021,2
U003983,2025-05-24,UC0094,Mahindra Lifespaces Symphony,Mahindra Lifespaces,tier1,P51909138,Parel,South Mumbai,premium,18.99482,72.82494,5BHK_penthouse,5,1723,2214,160.0,25,25,north-east,2024,2028,100,under_construction,Shitaladevi,Line 3,50,9.61,126965000,73707,1523575,8.95,2025,5
U003984,2025-11-19,UC0228,Ajmera Greens,Ajmera,tier2,P51762215,Mazgaon,South Mumbai,premium,18.96223,72.84363,2BHK,2,527,657,48.9,9,25,north-east,2022,2027,400,under_construction,CSMT Harbour,Harbour,37,12.3,21988000,41738,263860,8.7,2025,11
U003985,2021-03-16,UC0037,Marathon Royale,Marathon,tier2,P51761471,Mulund East,Central,mid,19.18637,72.95244,2BHK,2,792,987,73.6,11,35,north-east,2022,2027,100,under_construction,Jagruti Nagar,Line 1,137,15.57,14072000,17761,168859,6.7,2021,3
U003986,2021-03-06,UC0186,Oberoi Realty Imperia,Oberoi Realty,tier1,P51857068,Borivali East,Western,mid,19.23272,72.85488,2BHK,2,745,919,69.2,26,35,north-east,2024,2027,400,under_construction,Borivali WR,Western Rail,8,18.16,14288000,19173,171461,6.7,2021,3
U003987,2025-11-29,UC0052,Rustomjee The Park,Rustomjee,tier1,P51851619,Ulwe,Navi Mumbai,affordable,18.96175,73.02477,3BHK,3,719,868,66.8,27,35,south-west,2023,2025,800,under_construction,Kalyan CR,Central Rail,395,20.24,8373000,11642,100474,8.7,2025,11
U003988,2024-04-09,UC0159,Wadhwa Garden,Wadhwa,tier2,,Taloja,Navi Mumbai,affordable,19.08102,73.09547,2BHK,2,538,664,50.0,11,35,south-east,2024,2026,400,under_construction,Bandra WR,Western Rail,327,23.73,4811000,8939,57736,9.2,2024,4
U003989,2025-09-14,UC0043,Rustomjee Celeste,Rustomjee,tier1,,Vile Parle East,Western,premium,19.10231,72.84679,1BHK,1,474,609,44.1,35,35,south,2022,2027,100,ready_within_6m,Andheri WR,Western Rail,25,4.34,17145000,36137,205745,8.7,2025,9
U003990,2025-09-11,UC0100,Kanakia Vista,Kanakia,tier2,P51942182,Khar West,Western,luxury,19.07229,72.83537,3BHK,3,792,1020,73.6,11,25,north-east,2023,2027,1200,under_construction,Vidyanagari,Line 3,29,3.65,54268000,68487,651212,8.7,2025,9
U003991,2024-11-01,UC0212,Sunteck Pinnacle,Sunteck,tier2,P51857716,Goregaon East,Western,mid,19.16127,72.87741,4BHK,4,1389,1701,129.1,18,25,north-west,2024,2026,800,ready_within_6m,Dahanukarwadi,Line 2A,59,10.18,31270000,22509,375245,9.2,2024,11
U003992,2024-05-27,UC0071,Marathon Estate,Marathon,tier2,P51997451,Matunga,Central,premium,19.02155,72.83307,2BHK,2,597,750,55.4,11,15,north,2023,2025,100,under_construction,Acharya Atre Chowk,Line 3,22,6.64,23067000,38664,276802,9.2,2024,5
U003993,2024-01-26,UC0148,Dosti Realty Estate,Dosti Realty,tier2,P51763378,Belapur,Navi Mumbai,mid,19.0136,73.04258,3BHK,3,816,1052,75.8,20,25,south,2023,2025,200,under_construction,Belapur TH,Trans-Harbour,7,19.19,13374000,16388,160485,9.2,2024,1
U003994,2023-07-30,UC0154,Lodha Heights,Lodha,tier1,P51910876,Bhandup,Central,mid,19.16235,72.96714,1BHK,1,386,467,35.8,2,15,south-west,2025,2027,800,under_construction,Thane CR,Central Rail,42,14.48,7911000,20503,94933,9.2,2023,7
U003995,2022-12-12,UC0176,Piramal Realty Meadows,Piramal Realty,tier2,P51774242,Kandivali West,Western,mid,19.2077,72.83364,2BHK,2,492,619,45.7,8,15,north-west,2023,2027,200,under_construction,Devipada,Line 2A,23,15.78,10423000,21190,125073,8.6,2022,12
U003996,2025-10-18,UC0145,Wadhwa Horizon,Wadhwa,tier2,P51927668,Powai,Central,premium,19.11777,72.89858,3BHK,3,1025,1243,95.3,5,25,north-east,2024,2027,200,under_construction,Marol Naka Metro,Line 3,28,6.1,39110000,38144,469325,8.7,2025,10
U003997,2023-07-08,UC0187,Lodha Royale,Lodha,tier1,P51988237,Thane West,Thane,mid,19.21993,72.97336,2BHK,2,753,936,70.0,13,15,north-east,2022,2026,800,under_construction,Versova,Line 1,236,19.9,14736000,19568,176832,9.2,2023,7
U003998,2023-04-18,UC0237,Sunteck Garden,Sunteck,tier2,P51994730,Kanjurmarg,Central,mid,19.13722,72.92894,4BHK,4,1039,1271,96.5,7,25,south-west,2021,2025,1200,ready_within_6m,Ghatkopar CR,Central Rail,74,9.71,22411000,21569,268936,9.2,2023,4
U003999,2024-03-17,UC0246,Marathon Garden,Marathon,tier2,P51808585,Matunga,Central,premium,19.02298,72.8461,3BHK,3,1004,1297,93.3,13,50,south,2022,2025,1200,ready_within_6m,Wadala Harbour,Harbour,22,5.8,36513000,36352,438161,9.2,2024,3
U004000,2023-09-10,UC0110,Nirmal Lifestyle Park Avenue,Nirmal Lifestyle,tier2,P51912265,Malad West,Western,mid,19.18688,72.85727,3BHK,3,744,948,69.2,20,35,north-west,2025,2025,800,ready_within_6m,Ovaripada,Line 7,56,13.07,18224000,24482,218693,9.2,2023,9
U004001,2024-11-12,UC0204,Ajmera Greens,Ajmera,tier2,P51911086,Taloja,Navi Mumbai,affordable,19.06505,73.09867,3BHK,3,771,938,71.6,27,35,south,2022,2025,800,ready_within_6m,Kharghar TH,Trans-Harbour,47,24.04,7973000,10340,95676,9.2,2024,11
U004002,2024-09-26,UC0077,Kalpataru Imperia,Kalpataru,tier1,P51789549,Kandivali West,Western,mid,19.21033,72.83533,3BHK,3,1017,1278,94.5,7,25,west,2024,2027,400,ready_within_6m,Rashtriya Udyan,Line 2A,29,16.02,22613000,22237,271360,9.2,2024,9
U004003,2023-12-03,UC0222,Dosti Realty Skyline,Dosti Realty,tier2,P51957754,Cuffe Parade,South Mumbai,luxury,18.91207,72.81824,4BHK,4,1837,2375,170.7,22,25,north,2024,2026,800,under_construction,Hutatma Chowk,Line 3,33,18.39,214373000,116695,2572482,9.2,2023,12
U004004,2022-07-16,UC0103,Godrej Properties Oasis,Godrej Properties,tier1,P51737967,Breach Candy,South Mumbai,luxury,18.97249,72.80915,3BHK,3,876,1103,81.4,19,50,east,2025,2028,800,under_construction,MIDC Andheri,Line 3,218,12.59,84269000,96219,1011230,8.6,2022,7
U004005,2024-02-07,UC0141,Godrej Properties Crown,Godrej Properties,tier1,P51788112,Bandra East,Western,premium,19.06612,72.83706,3BHK,3,1080,1347,100.3,18,25,south-east,2024,2028,1200,ready_to_move,Bandra WR,Western Rail,22,3.49,51974000,48146,623687,9.2,2024,2
U004006,2022-02-25,UC0094,Mahindra Lifespaces Symphony,Mahindra Lifespaces,tier1,P51909138,Parel,South Mumbai,premium,18.99482,72.82494,1BHK,1,484,600,44.9,24,25,south-east,2024,2028,100,under_construction,Vidhan Bhavan,Line 3,96,9.61,26040000,53838,312478,7.1,2022,2
U004007,2023-10-12,UC0015,Dosti Realty Palazzo,Dosti Realty,tier2,P51737199,Vile Parle West,Western,premium,19.08966,72.84645,4BHK,4,1417,1794,131.7,5,25,south-west,2023,2028,400,under_construction,Santacruz Metro,Line 3,19,3.3,65067000,45915,780807,9.2,2023,10
U004008,2025-11-25,UC0004,Kalpataru Towers,Kalpataru,tier1,P51947712,Airoli,Navi Mumbai,mid,19.16927,72.99928,1BHK,1,417,510,38.7,31,35,north-west,2025,2027,400,under_construction,Anand Nagar,Line 2A,203,17.5,7143000,17129,85715,8.7,2025,11
U004009,2021-12-17,UC0066,JP Infra Oasis,JP Infra,tier2,P51852015,Sewri,South Mumbai,premium,19.00052,72.85291,1BHK,1,472,581,43.8,22,25,south-west,2021,2027,400,under_construction,Dadar Metro,Line 3,30,7.93,14658000,31061,175902,6.7,2021,12
U004010,2025-11-20,UC0040,Godrej Properties Skyline,Godrej Properties,tier1,P51912074,Vikhroli,Central,mid,19.10566,72.91627,4BHK,4,1693,2096,157.3,6,25,south-east,2024,2025,1200,ready_within_6m,Lower Oshiwara,Line 2A,125,6.27,47378000,27981,568539,8.7,2025,11
U004011,2024-09-16,UC0236,Godrej Properties Imperia,Godrej Properties,tier1,P51796632,Kanjurmarg,Central,mid,19.1327,72.93862,3BHK,3,749,916,69.6,4,35,south,2022,2026,200,ready_to_move,Ghatkopar,Line 1,76,10.03,17266000,23057,207188,9.2,2024,9
U004012,2025-08-15,UC0182,DLF Imperia,DLF,tier1,P51766926,Seawoods,Navi Mumbai,mid,19.02662,73.01352,3BHK,3,914,1145,84.9,19,35,north-east,2024,2027,100,ready_to_move,CSMT Harbour,Harbour,256,15.84,18551000,20294,222614,8.7,2025,8
U004013,2024-01-14,UC0135,Runwal Garden,Runwal,tier2,P51934428,Goregaon West,Western,mid,19.17401,72.84243,5BHK_penthouse,5,2777,3433,258.0,4,25,north-east,2025,2027,200,under_construction,Goregaon East,Line 7,27,11.92,84147000,30298,1009767,9.2,2024,1
U004014,2025-01-13,UC0238,Marathon Crest,Marathon,tier2,,Vashi,Navi Mumbai,mid,19.08323,73.01233,5BHK_penthouse,5,1971,2394,183.1,22,25,east,2023,2025,100,under_construction,Poisar,Line 7,254,15.03,37275000,18911,447301,8.95,2025,1
U004015,2024-06-08,UC0100,Kanakia Vista,Kanakia,tier2,P51942182,Khar West,Western,luxury,19.07229,72.83537,4BHK,4,1427,1830,132.6,2,25,north-east,2023,2027,1200,ready_to_move,Mogra,Line 7,88,3.65,91509000,64128,1098105,9.2,2024,6
U004016,2024-12-10,UC0235,Ekta World Garden,Ekta World,tier2,P51930623,Walkeshwar,South Mumbai,luxury,18.95531,72.79082,3BHK,3,1006,1241,93.4,12,25,south-west,2024,2027,400,under_construction,Girgaon,Line 3,36,15.23,103993000,103411,1247919,9.2,2024,12
