id,date_listed,locality,region,tier,lat,lon,property_type,bedrooms,carpet_area_sqft,built_up_area_sqft,carpet_area_m2,floor,total_floors,year_built,facing,furnishing,parking,balconies,is_sra_redevelopment,builder,builder_tier,metro_station,metro_line,metro_distance_min,metro_distance_type,to_bkc_km,to_nariman_point_km,price_inr,price_per_sqft_carpet_inr,price_usd,home_loan_rate_at_listing,listing_year,listing_month,property_age,calculated_price_per_sqft,luxury_score,connectivity_score,investment_score,investment_category
S007697,2024-02-08,Vikhroli,Central,mid,19.09871,72.91559,2BHK,2,696,899,64.6,1,12,1997,south,unfurnished,1_covered,1,False,Local Builder,local,Domestic Airport,Line 3,34,auto/bus,5.76,21.45,9296000,13363,111550,9.2,2024,2,29,13356.32183908046,0,66,29.180173149741826,Medium
S007698,2022-06-11,Santacruz East,Western,premium,19.08419,72.85046,3BHK,3,1002,1217,93.1,7,20,2022,north,fully_furnished,1_covered,1,False,Godrej Properties,tier1,Acharya Atre Chowk,Line 3,38,auto/bus,2.59,17.76,31335000,31272,376025,7.1,2022,6,4,31272.45508982036,4,62,32.2863131961066,Medium
S007699,2024-10-05,Nala Sopara,Far Western,affordable,19.43158,72.8232,2BHK,2,636,791,59.1,13,20,2017,south-east,fully_furnished,open,1,False,Kanakia,tier2,Virar WR,Western Rail,25,auto/bus,40.51,56.16,2516000,3956,30192,9.2,2024,10,9,3955.9748427672957,2,75,31.78865627980922,Medium
S007700,2021-09-14,Khar West,Western,luxury,19.07598,72.8309,2BHK,2,628,797,58.4,8,12,2005,north-west,unfurnished,none,1,False,Kanakia,tier2,Worli Metro,Line 3,34,auto/bus,4.16,16.64,24692000,39289,296301,6.7,2021,9,21,39318.47133757962,3,66,35.19829894702738,Medium
S007701,2021-02-19,Prabhadevi,South Mumbai,luxury,19.00943,72.84293,4BHK,4,1564,1955,145.3,9,30,2024,west,unfurnished,2_covered,3,False,Marathon,tier2,Siddhivinayak,Line 3,3,walk,7.31,9.44,65247000,41715,782968,6.7,2021,2,2,41718.03069053708,5,97,48.65832637515902,Medium
S007702,2025-04-21,Kopar Khairane,Navi Mumbai,mid,19.11755,73.00629,4BHK,4,1934,2458,179.7,19,20,2018,east,unfurnished,open,1,False,Local Builder,local,Aarey,Line 7,63,auto/bus,15.27,28.63,19599000,10133,235192,8.95,2025,4,8,10133.919338159256,2,37,17.47762301137813,Low
S007703,2023-07-01,Malabar Hill,South Mumbai,luxury,18.94975,72.79668,3BHK,3,962,1196,89.4,6,20,2004,south,unfurnished,1_covered,0,False,Nirmal Lifestyle,tier2,Girgaon,Line 3,13,auto/bus,15.43,3.84,59149000,61465,709790,9.2,2023,7,22,61485.446985446986,5,87,48.60990645657577,Medium
S007704,2024-06-19,Dombivli,Thane,affordable,19.23119,73.09559,2BHK,2,811,1043,75.3,15,20,2024,north-east,semi_furnished,2_covered,1,False,Ekta World,tier2,Kalyan CR,Central Rail,31,auto/bus,29.71,44.32,5281000,6512,63375,9.2,2024,6,2,6511.713933415536,0,69,29.09175807612195,Medium
S007705,2024-09-17,Badlapur,Thane,affordable,19.17008,73.20489,3BHK,3,729,883,67.7,12,20,2024,north-east,unfurnished,1_covered,0,False,JP Infra,tier2,Nerul Harbour,Harbour,109,auto/bus,36.9,48.36,3241000,4448,38894,9.2,2024,9,2,4445.816186556927,2,0,1.7981467448318422,Low
S007706,2020-04-17,Cuffe Parade,South Mumbai,luxury,18.90105,72.82472,2BHK,2,695,882,64.5,5,12,2011,north-west,unfurnished,1_covered,1,False,Kalpataru,tier1,Vidhan Bhavan,Line 3,20,walk,19.38,2.83,32552000,46860,390622,6.7,2020,4,15,46837.410071942446,3,80,42.3027200786434,Medium
S007707,2022-01-05,Kalyan,Thane,affordable,19.24284,73.11568,3BHK,3,796,957,74.0,5,7,2021,north-east,unfurnished,none,1,False,Local Builder,local,Kalyan CR,Central Rail,2,walk,32.18,46.68,4003000,5028,48041,7.1,2022,1,5,5028.894472361809,2,98,41.05541264051961,Medium
S007708,2024-07-03,Mulund East,Central,mid,19.16526,72.97715,3BHK,3,851,1093,79.1,8,30,1995,north,unfurnished,1_covered,2,False,Local Builder,local,Sahar Road,Line 3,57,auto/bus,15.46,31.06,10764000,12644,129173,9.2,2024,7,31,12648.648648648648,2,43,20.421702266815313,Medium
S007709,2023-12-04,Vasai,Far Western,affordable,19.40425,72.82486,2BHK,2,578,710,53.7,24,30,2015,north-west,unfurnished,2_covered,1,False,Dosti Realty,tier2,Anand Nagar,Line 2A,82,auto/bus,37.47,53.12,2273000,3934,27279,9.2,2023,12,11,3932.5259515570933,0,18,8.426747206335241,Low
S007710,2022-03-11,Mumbra,Thane,affordable,19.20355,73.03884,2BHK,2,672,864,62.4,9,12,2006,south-west,unfurnished,1_covered,1,False,Sunteck,tier2,MIDC Andheri,Line 3,75,auto/bus,23.13,38.21,2472000,3680,29659,7.1,2022,3,20,3678.5714285714284,0,25,11.14053074433657,Low
S007711,2023-12-30,Sanpada,Navi Mumbai,mid,19.06294,73.00291,2BHK,2,700,871,65.0,2,20,1988,south-east,semi_furnished,2_covered,0,False,Tata Housing,tier1,Vashi Harbour,Harbour,19,walk,13.99,24.19,8347000,11922,100162,9.2,2023,12,38,11924.285714285714,0,81,34.904203522223554,Medium
S007712,2024-10-28,Dadar East,Central,premium,19.01001,72.83529,5BHK_penthouse,5,1823,2238,169.3,5,12,2017,north-east,unfurnished,2_covered,1,False,Marathon,tier2,Wadala Harbour,Harbour,16,walk,7.6,9.37,63573000,34879,762878,9.2,2024,10,9,34872.737246297314,2,84,41.19152994824847,Medium
S007713,2021-01-27,Taloja,Navi Mumbai,affordable,19.07477,73.08866,3BHK,3,977,1249,90.7,9,12,2021,north-east,unfurnished,1_covered,1,False,Local Builder,local,Kharghar TH,Trans-Harbour,25,auto/bus,22.99,32.37,3975000,4070,47700,6.7,2021,1,5,4068.577277379734,2,75,31.66557232704403,Medium
S007714,2024-03-27,Bhayandar,Western,affordable,19.29056,72.85141,1BHK,1,344,439,31.9,7,12,1996,west,semi_furnished,2_covered,1,False,Local Builder,local,Santacruz Metro,Line 3,104,auto/bus,24.6,40.59,1977000,5754,23726,9.2,2024,3,30,5747.093023255814,0,0,1.6566168942842692,Low
S007715,2025-02-25,Santacruz East,Western,premium,19.07714,72.85121,2BHK,2,492,598,45.7,15,30,1995,east,unfurnished,1_covered,1,False,Local Builder,local,Santacruz Metro,Line 3,13,walk,2.13,17.0,13280000,26973,159363,8.95,2025,2,31,26991.869918699187,0,87,40.269901204819284,Medium
S007716,2024-12-30,Ambernath,Thane,affordable,19.18951,73.20907,2BHK,2,731,896,67.9,1,20,2023,north-west,fully_furnished,open,0,False,Tata Housing,tier1,Aarey,Line 7,137,auto/bus,38.02,49.96,3404000,4655,40852,9.2,2024,12,3,4656.6347469220245,2,0,1.824772032902468,Low
S007717,2020-03-08,Cuffe Parade,South Mumbai,luxury,18.91182,72.81758,3BHK,3,1239,1571,115.1,16,20,2000,north-east,unfurnished,1_covered,1,False,Mahindra Lifespaces,tier1,Cuffe Parade,Line 3,3,walk,18.43,1.76,76158000,61461,913892,7.85,2020,3,26,61467.31234866828,5,97,52.60533059691694,High
S007718,2024-07-16,Bandra West,Western,luxury,19.05763,72.82442,3BHK,3,919,1124,85.4,7,7,2021,east,unfurnished,open,1,False,Kalpataru,tier1,Mahalaxmi Metro,Line 3,39,auto/bus,4.98,14.58,56470000,61449,677634,9.2,2024,7,5,61447.22524483134,5,61,38.207508517797066,Medium
S007719,2025-01-04,Taloja,Navi Mumbai,affordable,19.07659,73.0895,2BHK,2,697,871,64.7,13,20,2024,north-west,unfurnished,none,2,True,Local Builder,local,Wadala Harbour,Harbour,111,auto/bus,23.08,32.55,2159000,3098,25906,8.95,2025,1,2,3097.560975609756,0,0,1.0827773969430292,Low
S007720,2020-08-21,Juhu,Western,luxury,19.1071,72.81372,2BHK,2,604,744,56.1,11,20,2020,north-west,fully_furnished,1_covered,1,False,Local Builder,local,Worli Metro,Line 3,52,auto/bus,7.21,20.11,20290000,33589,243476,6.7,2020,8,6,33592.71523178808,5,48,27.467085362247417,Medium
S007721,2023-12-09,Dahisar,Western,affordable,19.25327,72.84154,3BHK,3,745,911,69.2,29,45,2016,south-east,semi_furnished,1_covered,1,False,Local Builder,local,Dahisar East,Line 2A,2,walk,20.6,36.38,7685000,10315,92220,9.2,2023,12,10,10315.436241610738,2,98,41.993123617436574,Medium
S007722,2022-10-05,Chembur,Central,mid,19.05069,72.88786,2BHK,2,530,647,49.2,6,7,1996,south-east,semi_furnished,1_covered,3,False,Local Builder,local,Kurla CR,Central Rail,19,auto/bus,2.85,15.37,12266000,23153,147190,8.6,2022,10,30,23143.396226415094,0,81,37.112126169900534,Medium
S007723,2020-02-06,Bandra East,Western,premium,19.08194,72.84325,2BHK,2,710,886,65.9,15,20,2005,south-east,unfurnished,2_covered,1,False,Tata Housing,tier1,Bandra WR,Western Rail,9,walk,3.11,17.41,22155000,31214,265860,7.85,2020,2,21,31204.225352112677,0,91,42.687936538027536,Medium
S007724,2022-07-15,Mulund East,Central,mid,19.16696,72.94066,3BHK,3,1038,1260,96.4,7,7,2007,north-east,unfurnished,open,1,True,Marathon,tier2,Chakala,Line 1,54,auto/bus,13.09,29.43,9906000,9542,118867,8.6,2022,7,19,9543.35260115607,2,46,21.009348919846563,Medium
S007725,2020-02-14,Taloja,Navi Mumbai,affordable,19.05743,73.10553,5BHK_penthouse,5,2580,3193,239.7,3,7,2008,south-east,semi_furnished,2_covered,1,False,Wadhwa,tier2,CSMT CR,Central Rail,133,auto/bus,24.79,33.02,12283000,4760,147394,7.85,2020,2,18,4760.852713178295,2,0,1.6334133355043556,Low
S007726,2026-04-12,Nerul,Navi Mumbai,mid,19.03501,73.01494,2BHK,2,812,998,75.4,8,20,2023,west,unfurnished,1_covered,2,False,Local Builder,local,Nerul Harbour,Harbour,3,walk,15.72,23.45,11795000,14528,141544,8.7,2026,4,3,14525.862068965518,0,97,41.79038168715558,Medium
S007727,2020-06-18,Borivali West,Western,mid,19.24355,72.84623,5BHK_penthouse,5,2191,2696,203.6,7,7,2018,north,unfurnished,none,2,False,Local Builder,local,Dindoshi,Line 7,37,auto/bus,19.46,35.33,24751000,11295,297012,6.7,2020,6,8,11296.66818804199,2,63,28.099402407983522,Medium
S007728,2020-11-11,Tardeo,South Mumbai,luxury,18.96946,72.82748,1BHK,1,447,571,41.6,1,20,2004,north,semi_furnished,open,0,False,Local Builder,local,Mumbai Central WR,Western Rail,16,walk,12.04,4.79,15601000,34869,187218,6.7,2020,11,22,34901.56599552573,3,84,41.53789845522723,Medium
S007729,2025-06-30,Matunga,Central,premium,19.01539,72.85215,2BHK,2,725,905,67.3,4,12,2024,north-west,unfurnished,none,1,False,Hiranandani,tier1,Bandra WR,Western Rail,20,auto/bus,6.36,10.33,20716000,28586,248586,8.95,2025,6,2,28573.793103448275,0,80,37.76547186715582,Medium
S007730,2026-03-29,Bandra East,Western,premium,19.04944,72.84948,2BHK,2,664,801,61.7,12,20,2006,south,unfurnished,2_covered,1,False,Mahindra Lifespaces,tier1,Worli Metro,Line 3,31,auto/bus,3.14,13.94,24279000,36578,291345,8.7,2026,3,20,36564.75903614458,0,69,34.95678785781952,Medium
S007731,2022-07-04,Malabar Hill,South Mumbai,luxury,18.95459,72.79192,2BHK,2,598,773,55.5,19,20,2004,north-east,unfurnished,1_covered,0,False,Local Builder,local,Dadar CR,Central Rail,41,auto/bus,15.23,4.58,38353000,64165,460239,8.6,2022,7,22,64135.451505016725,3,59,37.359073579641745,Medium
S007732,2022-09-15,Borivali West,Western,mid,19.21919,72.83944,1BHK,1,324,420,30.1,4,12,2011,north-east,semi_furnished,1_covered,0,False,Marathon,tier2,Borivali WR,Western Rail,15,auto/bus,16.9,32.59,5566000,17171,66788,8.6,2022,9,15,17179.012345679013,0,85,37.6138622349982,Medium
S007733,2022-10-21,Juhu,Western,luxury,19.10752,72.81228,4BHK,4,1354,1702,125.8,8,12,2015,south,unfurnished,1_covered,2,False,Hiranandani,tier1,Versova,Line 1,20,auto/bus,7.36,20.16,67302000,49716,807626,8.6,2022,10,11,49706.05612998523,5,80,43.458058399453215,Medium
S007734,2024-05-30,Belapur,Navi Mumbai,mid,19.01077,73.02673,3BHK,3,950,1151,88.3,4,30,1985,north-west,unfurnished,open,2,True,Local Builder,local,Belapur TH,Trans-Harbour,3,walk,17.74,23.32,5110000,5379,61321,9.2,2024,5,41,5378.9473684210525,2,97,40.67149471624267,Medium
S007735,2021-10-23,Dadar West,Central,premium,19.0155,72.86076,3BHK,3,829,1067,77.0,20,45,2023,north-east,unfurnished,1_covered,0,False,Piramal Realty,tier2,Dadar Metro,Line 3,4,walk,6.14,10.64,32507000,39218,390082,6.7,2021,10,3,39212.30398069964,2,96,46.8743626049774,Medium
S007736,2025-12-21,Chembur,Central,mid,19.06393,72.88841,2BHK,2,579,730,53.8,3,12,2019,east,unfurnished,open,1,False,Hiranandani,tier1,Dadar CR,Central Rail,36,auto/bus,2.05,16.73,12582000,21716,150987,8.7,2025,12,7,21730.569948186527,0,64,30.022678620251153,Medium
S007737,2022-05-20,Kalyan,Thane,affordable,19.23227,73.14156,3BHK,3,994,1223,92.3,1,20,2022,north-west,fully_furnished,none,2,False,JP Infra,tier2,Kalyan CR,Central Rail,2,walk,33.75,47.66,4196000,4221,50352,7.1,2022,5,4,4221.327967806841,4,98,41.48252221163013,Medium
S007738,2022-01-16,Dadar West,Central,premium,19.02444,72.82611,3BHK,3,857,1091,79.6,21,30,2008,west,semi_furnished,1_covered,2,False,Local Builder,local,Dadar Metro,Line 3,3,walk,6.85,10.89,27908000,32557,334900,7.1,2022,1,18,32564.76079346558,2,97,45.947232019492624,Medium
S007739,2024-04-24,Bhayandar,Western,affordable,19.29581,72.86215,4BHK,4,1255,1629,116.6,22,30,2009,north-east,unfurnished,2_covered,1,False,Local Builder,local,Devipada,Line 2A,49,auto/bus,25.12,41.26,9071000,7226,108852,9.2,2024,4,17,7227.888446215139,2,51,22.55544142872892,Medium
S007740,2023-06-16,Lower Parel,South Mumbai,premium,18.99353,72.8304,2BHK,2,313,384,29.1,4,30,2008,east,semi_furnished,1_covered,3,False,Lodha,tier1,Worli Metro,Line 3,11,auto/bus,9.47,7.49,16109000,51429,193306,9.2,2023,6,18,51466.4536741214,0,89,45.9478770997579,Medium
S007741,2025-06-20,Panvel,Navi Mumbai,affordable,19.00358,73.10251,1BHK,1,455,553,42.3,8,12,2016,east,fully_furnished,1_covered,2,False,Local Builder,local,Panvel Harbour,Harbour,2,walk,25.53,30.55,3784000,8309,45406,8.95,2025,6,10,8316.483516483517,2,98,41.72607061310783,Medium
S007742,2024-07-03,Bhayandar,Western,affordable,19.29325,72.85157,2BHK,2,569,732,52.9,4,12,2019,west,fully_furnished,2_covered,1,False,Kalpataru,tier1,Borivali WR,Western Rail,38,auto/bus,24.9,40.89,5646000,9918,67757,9.2,2024,7,7,9922.671353251319,2,62,27.56071654268509,Medium
S007743,2022-08-10,Kalwa,Thane,affordable,19.19858,72.99691,4BHK,4,1609,2054,149.4,2,12,2009,south,unfurnished,1_covered,2,False,Ajmera,tier2,Thane CR,Central Rail,10,auto/bus,19.55,35.31,11955000,7432,143459,8.6,2022,8,17,7430.080795525171,2,90,38.17004700961941,Medium
S007744,2025-12-12,Ghansoli,Navi Mumbai,mid,19.13018,73.01708,3BHK,3,947,1166,88.0,29,30,2018,west,fully_furnished,1_covered,2,False,Local Builder,local,Vashi Harbour,Harbour,26,auto/bus,16.84,30.43,9550000,10081,114595,8.7,2025,12,8,10084.477296726505,4,74,32.92091204188482,Medium
S007745,2022-07-14,Byculla,South Mumbai,premium,18.98737,72.85737,3BHK,3,1084,1304,100.7,28,30,2024,north-west,semi_furnished,none,3,False,Local Builder,local,Dadar Metro,Line 3,26,auto/bus,9.28,7.64,29437000,27151,353249,8.6,2022,7,2,27155.90405904059,2,74,35.66417085300812,Medium
S007746,2022-07-05,Dadar East,Central,premium,19.00632,72.84287,2BHK,2,749,909,69.6,1,12,2018,south-west,unfurnished,1_covered,3,False,Local Builder,local,Worli Metro,Line 3,19,auto/bus,7.63,9.1,16574000,22134,198882,8.6,2022,7,8,22128.170894526036,0,81,36.88713546518643,Medium
S007747,2024-04-23,Walkeshwar,South Mumbai,luxury,18.96494,72.79477,5BHK_penthouse,5,2100,2526,195.1,18,20,2018,north-east,unfurnished,1_covered,1,False,Hiranandani,tier1,CSMT Metro,Line 3,23,auto/bus,14.11,5.25,200523000,95495,2406272,9.2,2024,4,8,95487.14285714286,5,77,51.40398695910195,High
S007748,2025-08-17,Mazgaon,South Mumbai,premium,18.97058,72.85414,1BHK,1,433,533,40.3,6,7,2023,east,semi_furnished,none,1,False,Mahindra Lifespaces,tier1,Mumbai Central WR,Western Rail,15,auto/bus,11.18,5.85,16221000,37426,194650,8.7,2025,8,3,37461.89376443418,0,85,41.54684848036496,Medium
S007749,2025-12-29,Ghatkopar West,Central,mid,19.08804,72.89858,2BHK,2,666,851,61.8,4,30,2018,south,unfurnished,none,1,False,Local Builder,local,Ghatkopar CR,Central Rail,3,walk,3.61,19.61,14651000,22015,175815,8.7,2025,12,8,21998.4984984985,0,97,43.271254726639825,Medium
S007750,2020-03-24,Juhu,Western,luxury,19.12124,72.84207,2BHK,2,603,779,56.0,9,12,2009,west,semi_furnished,2_covered,1,False,Local Builder,local,Mogra,Line 7,22,auto/bus,6.41,21.74,21580000,35813,258962,7.85,2020,3,17,35787.728026533994,3,78,39.30893920296572,Medium
S007751,2023-02-19,Wadala,South Mumbai,premium,19.01933,72.87542,2BHK,2,673,851,62.5,4,12,1985,north-east,unfurnished,none,0,False,Kanakia,tier2,Wadala Harbour,Harbour,4,walk,5.66,11.67,17881000,26587,214569,9.2,2023,2,41,26569.093610698365,0,96,43.77332528382082,Medium
S007752,2020-04-14,Sion,Central,premium,19.03407,72.85135,3BHK,3,837,1042,77.8,5,20,2018,north,unfurnished,none,2,False,Local Builder,local,Dadar Metro,Line 3,18,auto/bus,4.45,12.31,17330000,20700,207960,6.7,2020,4,8,20704.89844683393,2,82,37.59770340450087,Medium
S007753,2021-04-14,Kurla East,Central,mid,19.09153,72.90795,1BHK,1,390,490,36.3,22,30,2016,north-west,unfurnished,open,2,False,Marathon,tier2,Marol Naka Metro,Line 3,19,auto/bus,4.65,20.38,7070000,18110,84842,6.7,2021,4,10,18128.20512820513,0,81,36.16344271570014,Medium
S007754,2020-11-02,Versova,Western,premium,19.13692,72.81698,3BHK,3,1100,1363,102.2,6,12,2009,north-west,unfurnished,1_covered,2,False,Godrej Properties,tier1,D N Nagar,Line 1,18,walk,9.3,23.41,23685000,21522,284216,6.7,2020,11,17,21531.81818181818,2,82,37.746620814861735,Medium
S007755,2021-03-20,Vikhroli,Central,mid,19.11843,72.92058,3BHK,3,1095,1384,101.7,14,30,2024,west,unfurnished,none,1,False,Runwal,tier2,Kurar,Line 7,50,auto/bus,7.57,23.65,18178000,16603,218134,6.7,2021,3,2,16600.913242009134,2,50,23.97561155242601,Medium
S007756,2022-04-26,Goregaon West,Western,mid,19.17106,72.84348,2BHK,2,595,715,55.3,9,12,2013,east,unfurnished,1_covered,1,False,Local Builder,local,Lower Oshiwara,Line 2A,9,walk,11.58,27.27,10036000,16867,120435,7.1,2022,4,13,16867.2268907563,0,91,39.87304129135113,Medium
S007757,2025-02-21,Sion,Central,premium,19.04286,72.86721,2BHK,2,653,832,60.7,2,12,2020,north-west,fully_furnished,1_covered,1,False,Rustomjee,tier1,Andheri WR,Western Rail,39,auto/bus,3.03,13.72,19382000,29686,232582,8.95,2025,2,6,29681.47013782542,2,61,30.98879426271799,Medium
S007758,2024-07-02,Marine Drive,South Mumbai,luxury,18.93402,72.8276,3BHK,3,1013,1286,94.1,2,12,2020,north-east,unfurnished,1_covered,0,False,Kalpataru,tier1,Churchgate WR,Western Rail,17,walk,15.76,0.93,77525000,76527,930300,9.2,2024,7,6,76530.10858835143,5,83,50.0182990648178,High
S007759,2024-05-17,Nariman Point,South Mumbai,luxury,18.92129,72.83527,1BHK,1,295,381,27.4,6,12,2010,north,semi_furnished,1_covered,1,False,Sunteck,tier2,Hutatma Chowk,Line 3,15,walk,16.93,1.35,16126000,54630,193511,9.2,2024,5,16,54664.40677966102,3,85,45.88801165819174,Medium
S007760,2020-11-14,Dadar West,Central,premium,19.02531,72.83629,1BHK,1,318,395,29.5,4,12,1986,south-west,semi_furnished,1_covered,1,False,Local Builder,local,Dadar Metro,Line 3,4,walk,6.1,11.07,7719000,24312,92632,6.7,2020,11,40,24273.584905660377,0,96,43.39195045990414,Medium
S007761,2023-09-19,Kanjurmarg,Central,mid,19.11575,72.93962,3BHK,3,864,1055,80.2,5,20,1993,east,unfurnished,2_covered,2,False,Godrej Properties,tier1,Domestic Airport,Line 3,40,auto/bus,8.91,24.32,16527000,19134,198319,9.2,2023,9,33,19128.472222222223,2,60,28.487307049071216,Medium
S007762,2025-01-11,Malabar Hill,South Mumbai,luxury,18.95534,72.77781,4BHK,4,1446,1748,134.4,8,12,2016,north-east,unfurnished,none,1,False,Wadhwa,tier2,Vidhan Bhavan,Line 3,24,auto/bus,16.02,5.79,107812000,74549,1293742,8.95,2025,1,10,74558.78284923929,5,76,46.81907540533522,Medium
S007763,2025-05-16,Kanjurmarg,Central,mid,19.13543,72.91111,2BHK,2,639,800,59.4,12,12,2011,south,unfurnished,open,3,False,Local Builder,local,Shitaladevi,Line 3,66,auto/bus,8.46,24.98,8714000,13632,104566,8.95,2025,5,15,13636.932707355243,0,34,16.44115786091347,Low
S007764,2020-09-05,Lokhandwala,Western,premium,19.12797,72.8347,5BHK_penthouse,5,2122,2724,197.2,8,12,2022,south-east,semi_furnished,1_covered,1,False,Local Builder,local,Airport Road,Line 1,27,auto/bus,7.44,22.43,34623000,16314,415474,6.7,2020,9,4,16316.211121583412,2,73,33.09168253473125,Medium
S007765,2025-01-30,Vile Parle East,Western,premium,19.08753,72.86948,3BHK,3,879,1125,81.7,2,7,2024,east,semi_furnished,2_covered,2,False,Kalpataru,tier1,Marol Naka Metro,Line 3,20,auto/bus,1.95,18.54,27057000,30773,324681,8.95,2025,1,2,30781.56996587031,2,80,38.79155901245519,Medium
S007766,2024-08-21,Malad West,Western,mid,19.20941,72.85006,4BHK,4,1634,2031,151.8,7,20,2009,south,unfurnished,none,2,False,Godrej Properties,tier1,Dahanukarwadi,Line 2A,5,walk,15.64,31.58,31024000,18982,372288,9.2,2024,8,17,18986.536107711137,2,95,42.42863310985044,Medium
S007767,2020-11-27,Mahalaxmi,South Mumbai,luxury,18.98132,72.81647,3BHK,3,1055,1334,98.0,8,12,2021,south,semi_furnished,open,1,False,Local Builder,local,Mahalaxmi Metro,Line 3,3,walk,11.35,6.14,48910000,46343,586920,6.7,2020,11,5,46360.18957345971,5,97,49.58904571662237,Medium
S007768,2024-04-15,Oshiwara,Western,premium,19.14189,72.83848,4BHK,4,1454,1859,135.1,24,30,2015,east,unfurnished,2_covered,2,False,DLF,tier1,Versova,Line 1,15,auto/bus,8.65,24.0,42511000,29234,510136,9.2,2024,4,11,29237.276478679505,2,85,40.470323323375126,Medium
S007769,2023-09-23,Matunga,Central,premium,19.0278,72.86542,1BHK,1,397,496,36.8,9,20,2015,west,semi_furnished,2_covered,1,False,Ekta World,tier2,Dharavi,Line 3,12,auto/bus,4.72,12.09,9006000,22708,108067,9.2,2023,9,11,22685.138539042822,0,88,39.852637086386856,Medium
S007770,2024-04-25,Ghatkopar East,Central,mid,19.09397,72.91954,1BHK,1,449,562,41.7,6,12,2014,south-east,semi_furnished,none,1,False,Local Builder,local,Rashtriya Udyan,Line 2A,66,auto/bus,5.85,21.17,6190000,13792,74274,9.2,2024,4,12,13786.191536748329,0,34,16.51995088852989,Low
S007771,2021-08-22,Dadar East,Central,premium,19.01792,72.85958,4BHK,4,1289,1599,119.8,3,20,2024,south-east,semi_furnished,1_covered,1,False,Marathon,tier2,Mumbai Central Metro,Line 3,28,auto/bus,5.89,10.84,34207000,26538,410484,6.7,2021,8,2,26537.626066718385,2,72,34.736833782559124,Medium
S007772,2024-05-04,Mazgaon,South Mumbai,premium,18.98783,72.8486,1BHK,1,435,534,40.4,17,30,2006,north-west,unfurnished,1_covered,1,False,Godrej Properties,tier1,Mumbai Central Metro,Line 3,13,auto/bus,9.41,7.31,12460000,28639,149525,9.2,2024,5,20,28643.67816091954,0,87,40.60805682182986,Medium
S007773,2025-07-06,Breach Candy,South Mumbai,luxury,18.98044,72.81493,3BHK,3,911,1168,84.6,3,7,2012,west,semi_furnished,1_covered,2,False,Local Builder,local,Grant Road Metro,Line 3,19,walk,11.52,6.07,67158000,73723,805894,8.7,2025,7,14,73718.99012074643,5,81,48.659490258792694,Medium
S007774,2024-05-09,Vile Parle East,Western,premium,19.10406,72.87173,4BHK,4,1346,1703,125.1,25,45,2005,south,fully_furnished,2_covered,1,False,Local Builder,local,International Airport,Line 3,12,auto/bus,3.79,20.38,35979000,26722,431744,9.2,2024,5,21,26730.31203566122,4,88,41.772193990939165,Medium
S007775,2020-04-20,Marine Drive,South Mumbai,luxury,18.95124,72.80793,2BHK,2,514,647,47.8,4,20,2001,north,semi_furnished,2_covered,3,False,JP Infra,tier2,CSMT CR,Central Rail,19,walk,14.73,3.21,22861000,44444,274329,6.7,2020,4,25,44476.653696498055,3,81,42.23254261843314,Medium
S007776,2024-04-26,Walkeshwar,South Mumbai,luxury,18.97648,72.7931,3BHK,3,859,1091,79.8,26,30,2018,north-west,unfurnished,1_covered,1,False,Hiranandani,tier1,Grant Road Metro,Line 3,13,auto/bus,13.17,6.42,70758000,82378,849093,9.2,2024,4,8,82372.52619324796,5,87,52.7897326775771,High
S007777,2024-12-04,Kandivali West,Western,mid,19.19818,72.82824,3BHK,3,1041,1257,96.8,1,7,2021,south,fully_furnished,1_covered,1,False,Local Builder,local,Poisar,Line 7,11,auto/bus,14.91,30.21,19560000,18781,234718,9.2,2024,12,5,18789.625360230548,4,89,40.607324744376285,Medium
S007778,2021-02-26,Borivali East,Western,mid,19.22369,72.85897,4BHK,4,1530,1950,142.1,15,20,1986,north,unfurnished,1_covered,1,False,Local Builder,local,SEEPZ,Line 3,48,auto/bus,17.13,33.25,11630000,7602,139565,6.7,2021,2,40,7601.307189542484,2,52,23.0063845227859,Medium
S007779,2020-09-21,Thane East,Thane,affordable,19.19274,72.98256,1BHK,1,530,649,49.2,13,30,1987,north-west,unfurnished,2_covered,1,False,Local Builder,local,Thane CR,Central Rail,2,walk,18.06,33.99,2519000,4753,30225,6.7,2020,9,39,4752.830188679245,0,98,40.54758292973403,Medium
S007780,2024-09-27,Sewri,South Mumbai,premium,19.00005,72.84503,3BHK,3,1128,1361,104.8,40,45,2020,north-west,unfurnished,1_covered,1,False,Ajmera,tier2,CSMT Harbour,Harbour,33,auto/bus,8.21,8.48,35408000,31402,424899,9.2,2024,9,6,31390.070921985814,2,67,33.708642205151385,Medium
S007781,2024-08-21,Matunga,Central,premium,19.01603,72.8794,4BHK,4,1459,1841,135.6,12,12,2024,south-east,unfurnished,2_covered,2,False,Oberoi Realty,tier1,Akurli,Line 7,86,auto/bus,6.08,11.55,44364000,30401,532371,9.2,2024,8,2,30407.128169979438,2,14,12.302740798845912,Low
S007782,2022-08-23,Bandra West,Western,luxury,19.06026,72.82464,3BHK,3,1145,1487,106.4,9,20,2023,south-east,unfurnished,2_covered,1,False,Oberoi Realty,tier1,Girgaon,Line 3,54,auto/bus,4.89,14.87,68141000,59504,817688,8.6,2022,8,3,59511.7903930131,5,46,31.815475452370823,Medium
